Start date,End date,SKU,SKU ID,Total usage,(unit),Cost ($),Discount ($),Subtotal ($)
2025-05-19T00:00:00.000Z,2025-05-20T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-19T00:00:00.000Z,2025-05-20T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-20T00:00:00.000Z,2025-05-21T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-20T00:00:00.000Z,2025-05-21T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-21T00:00:00.000Z,2025-05-22T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-21T00:00:00.000Z,2025-05-22T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-22T00:00:00.000Z,2025-05-23T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-22T00:00:00.000Z,2025-05-23T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-23T00:00:00.000Z,2025-05-24T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-23T00:00:00.000Z,2025-05-24T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-24T00:00:00.000Z,2025-05-25T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-24T00:00:00.000Z,2025-05-25T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-25T00:00:00.000Z,2025-05-26T00:00:00.000Z,Total Storage,CLD-BLD-STO,0,Storage-GB-Hours,0,0,0
2025-05-25T00:00:00.000Z,2025-05-26T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-05-26T00:00:00.000Z,2025-05-27T00:00:00.000Z,Total Storage,CLD-BLD-STO,0.0015894239768385887,Storage-GB-Hours,0,0,0
2025-05-26T00:00:00.000Z,2025-05-27T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0